ons_id,name,region_name,electorate,result,leave,turnout,votes_cast,var1,var2,var3,var4,var5,var6,var7,var8,var9
E07000035,Derbyshire Dales,East Midlands,57075,leave,51.6,81.9,46756,27,18.6,29.2,5.2,33.4,552.7,54.3,18.7,19.2
E07000036,Erewash,East Midlands,87596,leave,61.2,76,66566,3.2,24.7,25.3,37.1,20.7,507.2,52.5,22.2,13.6
E07000037,High Peak,East Midlands,72487,leave,50.5,75.7,54864,9.1,22.5,17.5,29.9,29.4,510.9,50.2,18.3,17.8
E07000038,North East Derbyshire,East Midlands,78855,leave,62.8,75.3,59341,30.1,21.6,25.6,15.2,22.2,503.7,16.6,21.8,14.3
E07000039,South Derbyshire,East Midlands,73856,leave,60.4,76.8,56718,54.8,25.7,26.7,29.9,26,509.2,12.9,20.1,16.1
E07000040,East Devon,South West and Gibraltar,112527,leave,54.1,78.9,88831,11.1,18.7,39.2,56.2,29.1,498.9,62.9,18.7,15.3
E07000041,Exeter,South West and Gibraltar,86417,remain,44.7,73.9,63867,12.6,27.5,11.4,11.7,28.6,478.1,59.9,17.9,19.2
E07000042,Mid Devon,South West and Gibraltar,60532,leave,53.3,79.4,48049,26.5,21.3,42,51.5,26.4,479.9,24.2,22.7,14.8
E07000043,North Devon,South West and Gibraltar,75548,leave,57,76.9,58056,23,21.2,62.1,45.1,22.9,446.8,23.3,23.8,13.2
E07000044,South Hams,South West and Gibraltar,69121,remain,47.1,80.3,55485,25.1,18.2,18.9,18.6,34.3,502.9,61.8,16.4,18.8
E07000045,Teignbridge,South West and Gibraltar,103740,leave,53.9,79.4,82369,4.2,20.4,12,20.7,28,440.8,64,20.1,16.4
E07000046,Torridge,South West and Gibraltar,52881,leave,60.8,78.4,41462,63.2,19.5,18.7,56.3,21.7,453.1,18.3,26.8,11.4
E07000047,West Devon,South West and Gibraltar,43823,leave,53.2,81.3,35612,28.8,19.1,65,67.8,30,475.7,48.6,22.4,17.2
E07000048,Christchurch,South West and Gibraltar,39176,leave,58.8,79.3,31066,15.7,18.5,59.3,21.5,25.1,597.3,61.4,16.3,16.6
E07000049,East Dorset,South West and Gibraltar,71966,leave,57.6,81.3,58530,40.2,17.7,37.1,19.1,27.7,548.2,22.1,14.6,17.2
E07000050,North Dorset,South West and Gibraltar,52980,leave,56.4,79.7,42228,61.1,21.2,41.2,15.7,26.9,496.3,53.1,19.5,14.5
E07000051,Purbeck,South West and Gibraltar,36418,leave,59.1,78.9,28736,61,19.9,51.1,34.5,25.7,464.1,15.6,18.6,13.8
E07000052,West Dorset,South West and Gibraltar,82071,leave,51,79.5,65237,53.9,17.8,25.9,57.7,30.8,500.3,51.2,20,17.3
E07000053,Weymouth and Portland,South West and Gibraltar,50442,leave,61,75.9,38271,16.2,21.2,49.8,12.6,22.5,491.4,17.9,22.1,13.5
E07000061,Eastbourne,South East,71726,leave,57.3,74.7,53598,59.3,23.1,30,5.1,24.4,522.1,58.1,17.1,16.6
E07000062,Hastings,South East,61957,leave,54.9,71.6,44387,55.9,24.3,17.3,52.8,21.2,446.1,9.8,23.4,14
E07000063,Lewes,South East,76428,remain,47.9,77.9,59531,68.3,20.8,63.6,26,29.4,553.4,46.6,14.2,18
E07000064,Rother,South East,72755,leave,58.5,79.3,57715,53.3,16.9,25.5,42,25.5,519.4,31.3,17.5,16.1
E07000065,Wealden,South East,121141,leave,54.5,80,96944,15.6,19.6,25.8,56.7,28.9,569.9,16.6,14.3,17.1
E07000066,Basildon,East of England,132771,leave,68.6,73.9,98062,24.5,26.6,4.3,66.3,18.6,558.8,15,16.2,13.7
E07000067,Braintree,East of England,112562,leave,61.1,76.7,86303,34.4,24.7,41.4,35.2,22.2,592.1,24.9,17.5,13.5
E07000068,Brentwood,East of England,58777,leave,59.2,79.5,46725,29.1,24.5,54.3,51.1,30.7,720,6.6,9.6,20.5
E07000069,Castle Point,East of England,68860,leave,72.7,75.4,51909,21,21.1,50.4,46.5,14.6,565.9,48.4,14.1,11
E07000070,Chelmsford,East of England,129971,leave,52.8,77.6,100852,44.3,26.3,14.9,58.3,28.8,602.6,57.1,12.5,19
E07000071,Colchester,East of England,127520,leave,53.6,75.1,95782,5.7,26.9,51.7,51.7,27.2,531.6,21.5,16.1,17.5
E07000072,Epping Forest,East of England,100016,leave,62.7,76.9,76900,50.4,25.2,39.7,59.9,25.3,669.9,23.1,10.7,16.4
E07000073,Harlow,East of England,59124,leave,68.1,73.6,43489,59.6,28,39.9,16.5,17.6,490.7,67.3,17.5,12.4
E07000074,Maldon,East of England,49073,leave,62.6,79.2,38850,4,20.2,18.2,57.9,23.6,609.8,6.7,15.1,15
E07000075,Rochford,East of England,66589,leave,66.6,78.8,52479,29.6,22,34.8,55.8,20,577.8,11.2,13.2,14.6
E07000076,Tendring,East of England,111167,leave,69.5,74.4,82703,35.1,18.1,64.8,10.4,15.9,493.5,53.4,23.4,10.9
E07000077,Uttlesford,East of England,64735,leave,50.7,80.3,51972,39.7,23,62.9,10.2,31.9,605.4,14.2,11.3,18.4
E07000078,Cheltenham,South West and Gibraltar,87060,remain,43.8,75.9,66057,11.8,27.4,32.4,37.5,36.2,546.8,16.8,15.7,20.8
E07000079,Cotswold,South West and Gibraltar,68734,remain,48.9,79.8,54847,3.4,19.8,31.3,51.9,33.7,532.6,32.3,16.9,17.3
E07000080,Forest of Dean,South West and Gibraltar,66705,leave,58.6,77.5,51677,37.1,19.9,10.1,59.1,24,524.4,68,23.6,13.9
E07000081,Gloucester,South West and Gibraltar,89661,leave,58.5,72.1,64606,36.4,27.2,19.3,30.3,22.2,477.1,11.5,20.6,13.6
E07000082,Stroud,South West and Gibraltar,92631,remain,45.4,80,74128,24,22,45.5,32,32.9,525.7,63,18.7,19.1
E07000083,Tewkesbury,South West and Gibraltar,67831,leave,53.2,79.2,53686,16.9,23.5,5,26.4,30.2,565.8,48.7,16.9,16.9
E07000084,Basingstoke and Deane,South East,128677,leave,51.9,78,100395,8.6,27.2,45.8,22.8,30.5,622.6,46.6,14.7,19.4
E07000085,East Hampshire,South East,90588,remain,49.5,81.7,73967,30.4,20.7,24.8,57.7,33.9,579,23.7,13.7,19.4
E07000086,Eastleigh,South East,97280,leave,52.5,78.3,76148,14.6,25.8,43,24,27.9,547.8,61.1,14.1,18
E07000087,Fareham,South East,90175,leave,55.1,79.6,71772,35.7,22.5,15.5,40.1,29.8,575.7,23.6,13.6,18.3
E07000088,Gosport,South East,62781,leave,63.9,73.5,46150,49.1,25.1,22.2,32.2,21.5,536.1,31.6,21.4,12.1
E07000089,Hart,South East,69946,remain,47.6,82.7,57827,26.5,25.1,40.7,56.7,37.5,708.1,29.1,9.3,22.2
E07000090,Havant,South East,95366,leave,62.4,74.1,70670,50,21.5,29.6,17.4,22.3,520.1,17.1,20.1,14.5
E07000091,New Forest,South East,141061,leave,57.8,79.3,111786,37.8,19.5,53.3,57.2,27.2,537,20.6,16,16
E07000092,Rushmoor,South East,65790,leave,58.2,74.2,48800,40.8,30.6,38.5,50.8,24.7,518,67.9,14.1,14.7
E07000093,Test Valley,South East,94559,leave,51.9,79.7,75316,12.5,23,30.2,53,30.5,603.1,52.9,14.9,18.2
E07000094,Winchester,South East,89595,remain,41.1,81.3,72801,31.3,22.2,39.3,48.6,40.7,647.8,38.8,12.8,25.4
E07000095,Broxbourne,East of England,68997,leave,66.3,73.8,50907,47.5,26.4,33.7,37.5,19.2,615.4,9.6,11.3,12.1
E07000096,Dacorum,East of England,108965,leave,50.7,79.2,86307,37.6,27.2,19,59.2,30.9,601.6,17.9,13.3,18.7
E07000098,Hertsmere,East of England,73295,leave,50.8,76.6,56159,23.2,26,9.2,14,30.8,551.6,4.3,9.3,19.4
E07000099,North Hertfordshire,East of England,99316,remain,45.6,78.3,77737,11.9,26.7,4.4,25.5,34.4,637.3,50.1,14.1,22.2
E07000102,Three Rivers,East of England,67380,leave,51.3,78.5,52896,43.4,25.8,6.3,34.1,33.9,611.1,30.7,10.2,21.2
E07000103,Watford,East of England,65060,leave,50.3,71.7,46635,57.2,33.2,14.6,55.9,32.2,610.5,46.7,10.1,19.9
E07000105,Ashford,South East,90516,leave,59.4,77.1,69827,57.1,23.9,11.7,59.2,24.6,548.6,5,16.4,15.7
E07000106,Canterbury,South East,109399,leave,51,75.1,82105,60.1,21,12.3,48.6,27.3,583.4,38.5,15,20.5
E07000107,Dartford,South East,73951,leave,64.2,75.6,55883,67.1,29.8,15,39.9,22,577.2,66.5,14.1,14.6
E07000108,Dover,South East,85011,leave,62.2,76.5,65057,13.8,21.5,23.4,37.5,22,498.4,25.1,18.3,14.3
E07000109,Gravesham,South East,72808,leave,65.4,74.9,54553,14.7,26.4,52.9,15.9,20,545,52,15.9,13
E07000110,Maidstone,South East,117298,leave,58.8,76,89173,63.2,25.8,17.6,57.9,25.6,557.7,5.2,15.1,16.4
E07000111,Sevenoaks,South East,87253,leave,54.4,80.7,70393,36.8,23,57.5,17.8,32,595.5,29.9,11.6,19.2
E07000112,Shepway,South East,80879,leave,62.2,75,60659,26.4,22.1,3.4,12.1,21.8,543.8,32.5,17.4,13.3
E07000113,Swale,South East,102209,leave,62.5,74.3,75913,31,24,43.9,42.1,18.9,537.4,21.5,21.1,12.8
E07000114,Thanet,South East,99108,leave,63.8,72.8,72146,18.4,21.7,58.1,7.4,19.6,439.5,38.7,20.9,14.1
E07000115,Tonbridge and Malling,South East,93019,leave,55.7,79.6,74066,43.5,23.9,60.1,36.9,27.1,640.8,36.1,14.1,17.1
E07000116,Tunbridge Wells,South East,82181,remain,45.1,79.1,65039,57.8,25.2,33.8,33.5,34.6,565.1,62.1,13.2,20.6
E07000117,Burnley,North West,64461,leave,66.6,67.3,43350,10,25.3,47.3,15,18.7,421.8,39.8,20.6,12.7
E07000118,Chorley,North West,84159,leave,56.8,75.5,63560,51.2,25.7,61.5,19.9,27.8,513.5,42.1,18.5,17.8
E07000119,Fylde,North West,61174,leave,57,75.6,46227,43.8,20.2,16.4,48.4,29.8,520.1,43.4,16,20.8
E07000120,Hyndburn,North West,62042,leave,66.2,64.7,40168,60.1,25.2,51.5,60.6,18.9,454.5,32.5,21,12
E07000121,Lancaster,North West,100567,leave,51.1,72.7,73098,56.1,22.3,54.3,16,27.2,492.7,32.9,19.5,18.1
E07000122,Pendle,North West,64534,leave,63.2,70.3,45388,35,26.1,37.9,31.9,20.2,449.5,55.7,18.8,13.2
E07000123,Preston,North West,94284,leave,53.3,68.7,64794,52.6,26.6,45.8,34.2,24.6,435.1,38.6,18.1,16.2
E07000124,Ribble Valley,North West,46148,leave,56.4,79,36466,6,20.3,56.6,3.3,34,542.9,7.6,14,20.2
E07000125,Rossendale,North West,52750,leave,60.7,72.4,38205,57.8,25,27.6,62.4,25.1,481,63.1,19.2,16.5
E07000126,South Ribble,North West,84573,leave,58.6,75.4,63755,39.8,24.4,15.5,63.9,26.4,482.4,6.4,17,16.5
E07000127,West Lancashire,North West,85834,leave,55.3,74.5,63918,9.1,20.9,16,26.6,25.4,503.5,7.1,17.9,17
E07000128,Wyre,North West,84471,leave,63.8,74.6,63028,26.5,20,33.7,9.4,23,494,12.2,18.9,15.2
E07000129,Blaby,East Midlands,73832,leave,59.5,76.5,56512,42.2,24.4,25.7,43.1,24.9,568.7,51.4,15,15.9
E07000130,Charnwood,East Midlands,133780,leave,53.8,70.5,94257,13.1,24.2,22.9,62,26.8,518.9,53.4,15.9,17.9
E07000131,Harborough,East Midlands,67420,leave,50.7,81.4,54910,11.7,22,21.2,58.6,31.8,574.9,40.5,14.1,19.1
E07000132,Hinckley and Bosworth,East Midlands,85305,leave,60.3,76.8,65516,59.1,23.9,38.8,50.1,24.1,524.1,11.1,18,15.4
E07000133,Melton,East Midlands,37273,leave,58.1,81.4,30327,37.4,22,59.8,14.7,26.2,491.6,65.4,19.7,15
E07000134,North West Leicestershire,East Midlands,73944,leave,60.7,78,57638,29.8,24.2,59.8,22.7,24.3,500,47.1,21.4,14.9
E07000135,Oadby and Wigston,East Midlands,42684,leave,54.6,73.8,31489,65,21.4,6.1,68.4,24.8,452.9,5.3,14.8,17.2
E07000136,Boston,East Midlands,39363,leave,75.6,77.3,30416,14.6,25.6,37.8,16.6,15.1,411.2,18.9,27.2,10
E07000137,East Lindsey,East Midlands,107009,leave,70.7,74.9,80178,25.1,18.5,32.7,44.2,18.1,462.1,53.2,28.8,11.6
E07000138,Lincoln,East Midlands,63351,leave,56.9,69.3,43928,10.3,26.7,60.3,32,21.3,477.9,51.7,25.6,13.5
E07000139,North Kesteven,East Midlands,86468,leave,62.3,78.4,67791,35.7,22.7,37,32.2,25.4,509.4,9.1,20.4,14.2
E07000140,South Holland,East Midlands,65701,leave,73.6,75.4,49518,52.1,22.9,20.3,67.7,15.8,443.7,31.1,25.9,9.7
E07000141,South Kesteven,East Midlands,105457,leave,59.9,78.3,82523,57.7,22.5,7.5,41.6,25.6,475.3,31.2,20.4,15.2
E07000142,West Lindsey,East Midlands,73499,leave,61.8,74.5,54781,16.6,20.5,22,21.3,25.3,527.9,11.8,23.8,15.8
E07000143,Breckland,East of England,98989,leave,64.2,74.3,73593,50.1,22.5,58.4,10.8,18.6,457.3,54.4,25,10.8
E07000144,Broadland,East of England,99254,leave,54.4,78.4,77781,44.4,21.4,8.6,35.9,23.2,526.7,28.1,18.9,14.3
E07000145,Great Yarmouth,East of England,72634,leave,71.5,69.1,50158,67.2,22.3,7.8,25.8,14.2,448.8,13.2,28.9,10.1
E07000146,King's Lynn and West Norfolk,East of England,113884,leave,66.4,74.8,85128,15.9,22,26.2,39.2,19.1,468.4,9,25.5,12.1
E07000147,North Norfolk,East of England,83065,leave,58.9,76.8,63829,64.2,17.7,21.5,68.1,22.3,442,19.8,27.4,12
E07000148,Norwich,East of England,96091,remain,43.8,69.1,66422,39.4,30.3,48.4,33.1,27.7,470.1,32.4,23.5,19.5
E07000149,South Norfolk,East of England,102395,leave,51.7,78.5,80418,35.6,22.2,36.7,39.8,27,533.8,6.1,20.8,17.5
E07000150,Corby,East Midlands,43313,leave,64.2,74.1,32097,27.2,28.4,65.2,31.9,14.9,467.8,41.5,21,9
E07000151,Daventry,East Midlands,61004,leave,58.6,81,49420,43,22.3,7.6,58.1,28.8,498,20.2,16.6,16.7
E07000152,East Northamptonshire,East Midlands,68334,leave,58.8,77,52607,53.3,23.3,3.9,68,24.2,564.2,60.7,20,15
E07000153,Kettering,East Midlands,70570,leave,61,76.4,53940,44.5,26,30,57,23.3,505.5,39.3,20.7,15.1
E07000154,Northampton,East Midlands,144948,leave,58.4,72.7,105354,22.3,29.3,39.9,45.7,23.7,483.9,56,17.9,14.7
E07000155,South Northamptonshire,East Midlands,71309,leave,54.3,79.5,56664,36.3,22.6,5.8,65.8,31.1,613.7,44.3,13.9,17.6
E07000156,Wellingborough,East Midlands,54572,leave,62.4,75.5,41178,3.9,24.8,27.9,20.4,20.4,499.5,4.3,21.2,12.6
E07000163,Craven,Yorkshire and The Humber,44320,leave,52.8,81,35907,46.2,19.3,10.7,30.6,31.8,450.2,11.3,17.1,18.4
E07000164,Hambleton,Yorkshire and The Humber,70133,leave,53.7,78.5,55016,64.3,20.4,36,64,32.1,479.5,56.4,17.9,17.2
E07000165,Harrogate,Yorkshire and The Humber,119987,remain,49,78.9,94653,13.7,21.7,37.9,28.8,34.1,518,49.8,14.4,18.3
E07000166,Richmondshire,Yorkshire and The Humber,36794,leave,56.8,75.2,27652,58.7,24.7,20.7,22.7,27,518.5,45.6,18,11.8
