ons_id,name,region_name,electorate,result,leave,turnout,votes_cast,var1,var2,var3,var4,var5,var6,var7,var8,var9
S12000014,Falkirk,Scotland,117392,remain,43.2,67.6,79302,55,25.5,57.2,12.8,20.2,514.1,18.2,,13.3
S12000015,Fife,Scotland,272995,remain,41.4,66.8,182307,62.8,23.6,5.6,24.6,23.8,517.5,55.6,,15.4
S12000017,Highland,Scotland,175563,remain,44,71.6,125728,15.9,22.8,57.7,7.6,26.4,488.9,4.9,,14.6
S12000018,Inverclyde,Scotland,58624,remain,36.2,66.1,38722,26.2,22.8,45.5,57.3,19.7,518.9,48.5,,15
S12000019,Midlothian,Scotland,66758,remain,37.9,68.2,45497,57,24.3,58.6,39.5,21.1,497.4,44.1,,13.8
S12000020,Moray,Scotland,71370,remain,49.9,67.5,48139,5.2,23.7,54,4.9,22.7,490.7,24.6,,11.4
S12000021,North Ayrshire,Scotland,104572,remain,43.1,64.6,67548,8.9,21.8,9.9,42.8,19.6,479.8,64.5,,13.1
S12000023,Orkney Islands,Scotland,16658,remain,36.8,68.5,11402,12.4,21.8,36.8,56.4,26.5,505.2,55.3,,12.7
S12000024,Perth and Kinross,Scotland,110224,remain,38.9,73.8,81294,10.8,22.2,57.5,58.8,30.4,516.9,13.2,,16.4
S12000026,Scottish Borders,Scotland,88440,remain,41.5,73.4,64953,8.4,20.1,18.2,65,27,502.5,22.1,,15.4
S12000027,Shetland Islands,Scotland,17375,remain,43.5,70.4,12231,41,24.5,48.1,53.1,26.6,592,22.9,,13.1
S12000028,South Ayrshire,Scotland,88116,remain,41,69.8,61542,51.1,20.9,65.2,68.3,25.1,556.3,59.8,,16.3
S12000029,South Lanarkshire,Scotland,248949,remain,36.9,65.4,162683,33.3,24.3,61,38.2,22,531.1,29.8,,15.6
S12000030,Stirling,Scotland,66100,remain,32.3,74,48931,24.4,23.1,23,61.3,33.3,511.5,5.4,,20
S12000033,Aberdeen,Scotland,154266,remain,38.9,67.9,104809,67,32.3,29.7,55.6,33.2,562.4,36.8,,20
S12000034,Aberdeenshire,Scotland,196809,remain,45,70.6,139014,8.7,25.1,49.9,45.8,27,574.9,18.1,,16.2
S12000035,Argyll and Bute,Scotland,66642,remain,39.4,73.1,48734,40.3,19.9,54.1,9.6,28.9,495.9,9.2,,14
S12000036,Edinburgh,Scotland,346073,remain,25.6,73,252481,29.2,32.8,20.4,20.7,41.4,554.2,14.3,,25.6
S12000038,Renfrewshire,Scotland,127294,remain,35.2,69.3,88197,10.2,24.5,44.7,53.7,23.1,534,25.3,,15.7
S12000039,West Dunbartonshire,Scotland,67595,remain,38,64,43245,42.6,24.3,42.5,55.6,16.5,500.3,7.9,,11.8
S12000040,West Lothian,Scotland,130925,remain,41.7,67.6,88556,34.2,26.2,45.7,57.5,21.5,498.3,17,,13.8
S12000041,Angus,Scotland,87137,remain,44.7,68,59282,13.5,22.1,55.7,40.2,23.6,525.4,37.4,,14.7
S12000042,Dundee,Scotland,105554,remain,40.2,62.9,66418,25.3,26.8,15.4,8.5,24.8,463.3,52.8,,16.5
S12000044,North Lanarkshire,Scotland,254567,remain,38.3,60.9,155045,31.2,25.7,16.5,53.7,17.2,511,59.1,,12.9
S12000045,East Dunbartonshire,Scotland,83031,remain,28.6,75.2,62418,47.3,20.8,31.1,19.4,34.8,617.5,10.6,,24.6
S12000046,Glasgow,Scotland,449806,remain,33.4,56.3,253000,63,31.9,4.8,51.8,25.9,515.8,12.3,,18.5
W06000001,Isle of Anglesey,Wales,51445,leave,50.9,73.8,37978,52.3,21.6,8.4,44.9,26.1,481.2,43.3,28.9,15.3
W06000002,Gwynedd,Wales,84575,remain,41.9,72.4,61245,12.8,21.3,27.6,4,26.4,433.9,61.4,27.8,15.9
W06000003,Conwy,Wales,91368,leave,54,71.8,65554,10.6,20.2,25.2,58.7,25.5,494.8,30.1,23.9,15.6
